Signal data for event #10827 with energy 999.1025453310803
<z>	<x>	<t>	<nph>
3	6	12	233.0
3	7	12	260.0
3	8	12	233.0
3	9	12	225.0
4	0	12	295.0
4	1	12	283.0
4	2	12	296.0
4	3	12	248.0
4	4	12	255.0
4	5	12	273.0
4	6	12	301.0
4	7	12	279.0
4	8	12	283.0
4	9	12	292.0
5	0	12	818.0
5	1	12	887.0
5	2	12	948.0
5	3	12	996.0
5	4	12	989.0
5	5	12	1030.0
5	6	12	1026.0
5	7	12	1083.0
5	8	12	1188.0
5	9	12	1289.0
6	0	12	2417.0
6	1	12	2482.0
6	2	12	2572.0
6	3	12	2704.0
6	4	12	2575.0
6	5	12	2519.0
6	6	12	2373.0
6	7	12	2389.0
6	8	12	2535.0
6	9	12	2687.0
7	0	12	4915.0
7	1	12	4531.0
7	2	12	4450.0
7	3	12	4529.0
7	4	12	4502.0
7	5	12	4308.0
7	6	12	4214.0
7	7	12	4270.0
7	8	12	4229.0
7	9	12	4078.0
8	0	12	7352.0
8	1	12	6800.0
8	2	12	6281.0
8	3	12	5879.0
8	4	12	5885.0
8	5	12	5876.0
8	6	12	6272.0
8	7	12	6352.0
8	8	12	6315.0
8	9	12	6262.0
9	0	12	8730.0
9	1	12	8267.0
9	2	12	7236.0
9	3	12	6514.0
9	4	12	6249.0
9	5	12	6319.0
9	6	12	6739.0
9	7	12	7071.0
9	8	12	7377.0
9	9	12	7666.0
0	0	13	138.0
0	1	13	140.0
0	2	13	143.0
0	3	13	140.0
0	4	13	152.0
0	5	13	155.0
0	6	13	147.0
0	7	13	151.0
0	8	13	151.0
0	9	13	151.0
1	0	13	125.0
1	1	13	157.0
1	2	13	150.0
1	3	13	137.0
1	4	13	177.0
1	5	13	157.0
1	6	13	160.0
1	7	13	153.0
1	8	13	165.0
1	9	13	157.0
2	0	13	129.0
2	1	13	141.0
2	2	13	159.0
2	3	13	153.0
2	4	13	156.0
2	5	13	179.0
2	6	13	187.0
2	7	13	170.0
2	8	13	159.0
2	9	13	149.0
3	0	13	148.0
3	1	13	143.0
3	2	13	165.0
3	3	13	194.0
3	4	13	234.0
3	5	13	222.0
3	6	13	223.0
3	7	13	202.0
3	8	13	207.0
3	9	13	200.0
4	0	13	634.0
4	1	13	589.0
4	2	13	570.0
4	3	13	623.0
4	4	13	620.0
4	5	13	621.0
4	6	13	665.0
4	7	13	723.0
4	8	13	738.0
4	9	13	725.0
5	0	13	1913.0
5	1	13	1815.0
5	2	13	1764.0
5	3	13	1756.0
5	4	13	1780.0
5	5	13	1821.0
5	6	13	1887.0
5	7	13	1893.0
5	8	13	1886.0
5	9	13	1779.0
6	0	13	3615.0
6	1	13	3613.0
6	2	13	3506.0
6	3	13	3284.0
6	4	13	3161.0
6	5	13	3194.0
6	6	13	3146.0
6	7	13	3161.0
6	8	13	3167.0
6	9	13	3115.0
7	0	13	4104.0
7	1	13	4349.0
7	2	13	4302.0
7	3	13	4355.0
7	4	13	4276.0
7	5	13	4017.0
7	6	13	3632.0
7	7	13	3577.0
7	8	13	3638.0
7	9	13	3767.0
8	0	13	3988.0
8	1	13	4299.0
8	2	13	4294.0
8	3	13	4352.0
8	4	13	4360.0
8	5	13	4223.0
8	6	13	3893.0
