Signal data for event #4698 with energy 103.71947430312626
<z>	<x>	<t>	<nph>
3	9	14	62.0
4	0	14	193.0
4	1	14	181.0
4	2	14	184.0
4	3	14	186.0
4	4	14	175.0
4	5	14	163.0
4	6	14	168.0
4	7	14	169.0
4	8	14	152.0
4	9	14	162.0
5	0	14	245.0
5	1	14	230.0
5	2	14	227.0
5	3	14	237.0
5	4	14	246.0
5	5	14	231.0
5	6	14	226.0
5	7	14	218.0
5	8	14	249.0
5	9	14	264.0
6	0	14	234.0
6	1	14	197.0
6	2	14	203.0
6	3	14	191.0
6	4	14	188.0
6	5	14	190.0
6	6	14	193.0
6	7	14	179.0
6	8	14	174.0
6	9	14	190.0
7	0	14	233.0
7	1	14	227.0
7	2	14	228.0
7	3	14	199.0
7	4	14	202.0
7	5	14	157.0
7	6	14	150.0
7	7	14	125.0
7	8	14	77.0
7	9	14	61.0
8	0	14	199.0
8	1	14	211.0
8	2	14	244.0
8	3	14	232.0
8	4	14	195.0
8	5	14	123.0
8	6	14	76.0
8	7	14	49.0
8	8	14	20.0
8	9	14	11.0
9	0	14	217.0
9	1	14	208.0
9	2	14	233.0
9	3	14	254.0
9	4	14	151.0
9	5	14	122.0
9	6	14	79.0
9	7	14	38.0
9	8	14	12.0
9	9	14	11.0
0	0	15	23.0
0	1	15	27.0
0	2	15	28.0
0	3	15	29.0
0	4	15	28.0
0	5	15	21.0
0	6	15	25.0
0	7	15	27.0
0	8	15	37.0
0	9	15	37.0
1	0	15	28.0
1	1	15	29.0
1	2	15	30.0
1	3	15	30.0
1	4	15	33.0
1	5	15	27.0
1	6	15	25.0
1	7	15	30.0
1	8	15	38.0
1	9	15	37.0
2	0	15	57.0
2	1	15	52.0
2	2	15	47.0
2	3	15	48.0
2	4	15	48.0
2	5	15	45.0
2	6	15	44.0
2	7	15	36.0
2	8	15	39.0
2	9	15	30.0
3	0	15	104.0
3	1	15	113.0
3	2	15	99.0
3	3	15	109.0
3	4	15	114.0
3	5	15	110.0
3	6	15	111.0
3	7	15	110.0
3	8	15	119.0
3	9	15	113.0
4	0	15	125.0
4	1	15	135.0
4	2	15	136.0
4	3	15	146.0
4	4	15	135.0
4	5	15	129.0
4	6	15	133.0
4	7	15	144.0
4	8	15	163.0
4	9	15	150.0
5	0	15	134.0
5	1	15	128.0
5	2	15	128.0
5	3	15	134.0
5	4	15	123.0
5	5	15	100.0
5	6	15	86.0
5	7	15	88.0
5	8	15	96.0
5	9	15	88.0
6	0	15	145.0
6	1	15	134.0
6	2	15	118.0
6	3	15	111.0
6	4	15	124.0
6	5	15	98.0
6	6	15	76.0
6	7	15	72.0
6	8	15	58.0
6	9	15	57.0
7	0	15	137.0
7	1	15	118.0
7	2	15	96.0
7	3	15	94.0
7	4	15	83.0
7	5	15	92.0
7	6	15	84.0
7	7	15	85.0
7	8	15	74.0
7	9	15	67.0
8	0	15	90.0
8	1	15	88.0
8	2	15	70.0
8	3	15	81.0
8	4	15	67.0
8	5	15	66.0
8	6	15	79.0
8	7	15	84.0
8	8	15	102.0
8	9	15	99.0
9	0	15	29.0
9	1	15	71.0
9	2	15	72.0
9	3	15	73.0
9	4	15	70.0
9	5	15	42.0
9	6	15	51.0
9	7	15	67.0
9	8	15	107.0
9	9	15	112.0
0	0	16	36.0
0	1	16	36.0
0	2	16	40.0
0	3	16	36.0
0	4	16	33.0
0	5	16	37.0
0	6	16	35.0
0	7	16	31.0
0	8	16	27.0
0	9	16	31.0
1	0	16	50.0
1	1	16	51.0
1	2	16	49.0
1	3	16	44.0
1	4	16	37.0
1	5	16	38.0
1	6	16	36.0
1	7	16	32.0
1	8	16	28.0
1	9	16	30.0
2	0	16	65.0
2	1	16	63.0
2	2	16	63.0
2	3	16	59.0
2	4	16	60.0
2	5	16	62.0
2	6	16	68.0
2	7	16	69.0
2	8	16	64.0
2	9	16	69.0
3	0	16	68.0
3	1	16	70.0
3	2	16	71.0
3	3	16	69.0
3	4	16	63.0
3	5	16	71.0
3	6	16	81.0
3	7	16	86.0
3	8	16	76.0
3	9	16	76.0
4	0	16	68.0
4	1	16	78.0
4	2	16	77.0
4	3	16	57.0
4	4	16	55.0
4	5	16	66.0
4	6	16	61.0
4	7	16	62.0
4	8	16	51.0
4	9	16	56.0
5	0	16	50.0
5	1	16	60.0
5	2	16	63.0
5	3	16	46.0
5	4	16	61.0
5	5	16	61.0
5	6	16	52.0
5	7	16	55.0
5	8	16	53.0
5	9	16	63.0
6	0	16	43.0
6	1	16	53.0
6	2	16	48.0
6	3	16	58.0
6	4	16	60.0
6	5	16	60.0
6	6	16	60.0
6	7	16	64.0
6	8	16	70.0
6	9	16	73.0
7	0	16	40.0
7	1	16	39.0
7	2	16	40.0
7	3	16	52.0
7	4	16	65.0
7	5	16	73.0
7	6	16	76.0
7	7	16	78.0
7	8	16	83.0
7	9	16	80.0
8	0	16	29.0
8	1	16	32.0
8	2	16	28.0
8	3	16	40.0
8	4	16	52.0
8	5	16	76.0
8	6	16	91.0
8	7	16	98.0
8	8	16	88.0
8	9	16	65.0
9	0	16	27.0
9	1	16	32.0
9	2	16	28.0
9	3	16	28.0
9	4	16	38.0
9	5	16	77.0
9	6	16	95.0
9	7	16	101.0
9	8	16	81.0
9	9	16	66.0
0	0	17	42.0
0	1	17	45.0
0	2	17	41.0
0	3	17	44.0
0	4	17	41.0
0	5	17	33.0
0	6	17	31.0
0	7	17	33.0
0	8	17	30.0
0	9	17	27.0
1	0	17	40.0
1	1	17	37.0
1	2	17	39.0
1	3	17	40.0
1	4	17	49.0
1	5	17	51.0
1	6	17	51.0
1	7	17	55.0
1	8	17	52.0
1	9	17	48.0
2	0	17	50.0
2	1	17	39.0
2	2	17	38.0
2	3	17	44.0
2	4	17	57.0
2	5	17	60.0
2	6	17	51.0
2	7	17	53.0
2	8	17	50.0
2	9	17	47.0
3	0	17	56.0
3	1	17	40.0
3	2	17	42.0
3	3	17	46.0
3	4	17	53.0
3	5	17	48.0
3	6	17	38.0
3	7	17	32.0
3	8	17	37.0
3	9	17	30.0
4	0	17	33.0
4	1	17	27.0
4	2	17	29.0
4	3	17	41.0
4	4	17	41.0
4	5	17	30.0
4	6	17	32.0
4	7	17	30.0
4	8	17	35.0
4	9	17	35.0
5	0	17	25.0
5	1	17	25.0
5	2	17	23.0
5	3	17	42.0
5	4	17	32.0
5	5	17	33.0
5	6	17	37.0
5	7	17	43.0
5	8	17	48.0
5	9	17	46.0
6	0	17	13.0
6	1	17	12.0
6	2	17	20.0
6	3	17	23.0
6	4	17	25.0
6	5	17	33.0
6	6	17	47.0
6	7	17	47.0
6	8	17	51.0
6	9	17	46.0
7	0	17	16.0
7	1	17	18.0
7	2	17	26.0
7	3	17	28.0
7	4	17	30.0
7	5	17	35.0
7	6	17	37.0
7	7	17	37.0
7	8	17	40.0
7	9	17	47.0
8	0	17	38.0
8	1	17	34.0
8	2	17	48.0
8	3	17	39.0
8	4	17	41.0
8	5	17	35.0
8	6	17	34.0
8	7	17	34.0
8	8	17	36.0
8	9	17	55.0
9	0	17	53.0
9	1	17	51.0
9	2	17	57.0
9	3	17	59.0
9	4	17	48.0
9	5	17	35.0
9	6	17	42.0
9	7	17	47.0
9	8	17	48.0
9	9	17	52.0
0	0	18	39.0
0	1	18	41.0
0	2	18	41.0
0	3	18	44.0
0	4	18	46.0
0	5	18	49.0
0	6	18	49.0
0	7	18	45.0
0	8	18	52.0
0	9	18	54.0
1	0	18	33.0
1	1	18	37.0
1	2	18	38.0
1	3	18	36.0
1	4	18	29.0
1	5	18	28.0
1	6	18	28.0
1	7	18	26.0
1	8	18	28.0
1	9	18	29.0
2	0	18	25.0
2	1	18	35.0
2	2	18	39.0
2	3	18	36.0
2	4	18	30.0
2	5	18	26.0
2	6	18	35.0
2	7	18	33.0
2	8	18	39.0
2	9	18	37.0
3	0	18	15.0
3	1	18	19.0
3	2	18	18.0
3	3	18	17.0
3	4	18	20.0
3	5	18	25.0
3	6	18	30.0
3	7	18	24.0
3	8	18	25.0
3	9	18	30.0
4	0	18	14.0
4	1	18	15.0
4	2	18	18.0
4	3	18	16.0
4	4	18	19.0
4	5	18	25.0
4	6	18	25.0
4	7	18	26.0
4	8	18	29.0
4	9	18	34.0
5	0	18	20.0
5	1	18	20.0
5	2	18	24.0
5	3	18	20.0
5	4	18	19.0
5	5	18	20.0
5	6	18	21.0
5	7	18	19.0
5	8	18	20.0
5	9	18	21.0
6	0	18	32.0
6	1	18	34.0
6	2	18	30.0
6	3	18	27.0
6	4	18	24.0
6	5	18	22.0
6	6	18	18.0
6	7	18	14.0
6	8	18	12.0
6	9	18	12.0
7	0	18	47.0
7	1	18	41.0
7	2	18	35.0
7	3	18	35.0
7	4	18	29.0
7	5	18	29.0
7	6	18	24.0
7	7	18	19.0
7	8	18	18.0
7	9	18	18.0
8	0	18	44.0
8	1	18	41.0
8	2	18	45.0
8	3	18	44.0
8	4	18	41.0
8	5	18	34.0
8	6	18	29.0
8	7	18	23.0
8	8	18	26.0
8	9	18	26.0
9	0	18	38.0
9	1	18	41.0
9	2	18	49.0
9	3	18	48.0
9	4	18	45.0
9	5	18	33.0
9	6	18	24.0
9	7	18	25.0
9	8	18	25.0
9	9	18	29.0
0	0	19	37.0
0	1	19	44.0
0	2	19	46.0
0	3	19	47.0
0	4	19	46.0
0	5	19	43.0
0	6	19	40.0
0	7	19	46.0
0	8	19	45.0
0	9	19	44.0
1	0	19	27.0
1	1	19	27.0
1	2	19	31.0
1	3	19	31.0
1	4	19	35.0
1	5	19	35.0
1	6	19	37.0
1	7	19	39.0
1	8	19	40.0
1	9	19	36.0
2	0	19	21.0
2	1	19	20.0
2	2	19	20.0
2	3	19	20.0
2	4	19	21.0
2	5	19	22.0
2	6	19	19.0
2	7	19	25.0
2	8	19	20.0
2	9	19	17.0
3	0	19	22.0
3	1	19	21.0
3	2	19	20.0
3	3	19	18.0
3	4	19	20.0
3	5	19	22.0
3	6	19	21.0
3	7	19	31.0
3	8	19	27.0
3	9	19	21.0
4	0	19	18.0
4	1	19	15.0
4	2	19	16.0
4	3	19	14.0
4	4	19	18.0
4	5	19	13.0
4	6	19	15.0
4	7	19	12.0
4	8	19	12.0
4	9	19	7.0
5	0	19	14.0
5	1	19	16.0
5	2	19	17.0
5	3	19	16.0
5	4	19	16.0
5	5	19	9.0
5	6	19	8.0
5	7	19	6.0
5	8	19	9.0
5	9	19	6.0
6	0	19	22.0
6	1	19	20.0
6	2	19	23.0
6	3	19	19.0
6	4	19	16.0
6	5	19	14.0
6	6	19	12.0
6	7	19	14.0
6	8	19	10.0
6	9	19	9.0
7	0	19	21.0
7	1	19	27.0
7	2	19	25.0
7	3	19	22.0
7	4	19	23.0
7	5	19	20.0
7	6	19	21.0
7	7	19	18.0
7	8	19	17.0
7	9	19	14.0
8	0	19	24.0
8	1	19	27.0
8	2	19	18.0
8	3	19	17.0
8	4	19	18.0
8	5	19	21.0
8	6	19	21.0
8	7	19	24.0
8	8	19	22.0
8	9	19	18.0
9	0	19	18.0
9	1	19	16.0
9	2	19	10.0
9	3	19	8.0
9	4	19	16.0
9	5	19	28.0
9	6	19	29.0
9	7	19	30.0
9	8	19	24.0
9	9	19	15.0
0	0	20	39.0
0	1	20	33.0
0	2	20	33.0
0	3	20	32.0
0	4	20	36.0
0	5	20	36.0
0	6	20	33.0
0	7	20	32.0
0	8	20	33.0
0	9	20	38.0
1	0	20	34.0
1	1	20	36.0
1	2	20	34.0
1	3	20	37.0
1	4	20	32.0
1	5	20	35.0
1	6	20	37.0
1	7	20	33.0
1	8	20	31.0
1	9	20	34.0
2	0	20	18.0
2	1	20	19.0
2	2	20	19.0
2	3	20	25.0
2	4	20	21.0
2	5	20	24.0
2	6	20	28.0
2	7	20	24.0
2	8	20	28.0
2	9	20	29.0
3	0	20	14.0
3	1	20	18.0
3	2	20	18.0
3	3	20	21.0
3	4	20	15.0
3	5	20	10.0
3	6	20	9.0
3	7	20	5.0
3	8	20	8.0
3	9	20	9.0
4	0	20	18.0
4	1	20	18.0
4	2	20	10.0
4	3	20	16.0
4	4	20	14.0
4	5	20	15.0
4	6	20	14.0
4	7	20	11.0
4	8	20	13.0
4	9	20	12.0
5	0	20	7.0
5	1	20	7.0
5	2	20	4.0
5	3	20	3.0
5	4	20	6.0
5	5	20	9.0
5	6	20	10.0
5	7	20	16.0
5	8	20	15.0
5	9	20	14.0
6	0	20	2.0
6	1	20	3.0
6	2	20	2.0
6	3	20	6.0
6	4	20	7.0
6	5	20	10.0
6	6	20	19.0
6	7	20	25.0
6	8	20	29.0
6	9	20	31.0
7	0	20	1.0
7	2	20	2.0
7	3	20	2.0
7	4	20	5.0
7	5	20	5.0
7	6	20	8.0
7	7	20	14.0
7	8	20	16.0
7	9	20	16.0
8	0	20	1.0
8	2	20	2.0
8	3	20	3.0
8	4	20	3.0
8	5	20	2.0
8	6	20	2.0
8	7	20	4.0
8	8	20	7.0
8	9	20	12.0
9	0	20	1.0
9	1	20	1.0
9	2	20	1.0
9	3	20	3.0
9	4	20	3.0
9	5	20	3.0
9	6	20	1.0
9	7	20	4.0
9	8	20	7.0
9	9	20	13.0
0	0	21	2.0
0	1	21	6.0
0	2	21	5.0
0	3	21	6.0
0	4	21	2.0
0	5	21	3.0
0	6	21	6.0
0	7	21	2.0
0	8	21	3.0
0	9	21	2.0
1	0	21	5.0
1	1	21	2.0
1	2	21	2.0
1	3	21	2.0
1	4	21	4.0
1	5	21	2.0
1	7	21	1.0
1	8	21	3.0
1	9	21	3.0
2	0	21	1.0
2	1	21	3.0
2	2	21	2.0
2	3	21	2.0
2	4	21	3.0
2	5	21	1.0
2	7	21	1.0
2	8	21	2.0
2	9	21	2.0
3	0	21	1.0
3	4	21	1.0
3	5	21	1.0
3	7	21	1.0
3	9	21	2.0
4	1	21	2.0
4	2	21	3.0
4	3	21	3.0
4	4	21	1.0
4	5	21	2.0
4	6	21	2.0
4	7	21	2.0
4	8	21	2.0
4	9	21	3.0
5	0	21	5.0
5	1	21	4.0
5	2	21	5.0
5	3	21	6.0
5	4	21	4.0
5	5	21	4.0
5	6	21	5.0
5	7	21	4.0
5	8	21	3.0
5	9	21	3.0
6	0	21	2.0
6	1	21	4.0
6	2	21	3.0
6	3	21	1.0
6	4	21	2.0
6	5	21	2.0
7	0	21	2.0
7	1	21	1.0
7	2	21	2.0
7	3	21	3.0
7	4	21	1.0
7	5	21	1.0
7	6	21	2.0
8	2	21	1.0
8	3	21	1.0
8	4	21	1.0
8	5	21	2.0
8	6	21	2.0
8	7	21	2.0
8	8	21	2.0
8	9	21	2.0
4	1	22	1.0
4	4	22	1.0
5	1	22	2.0
7	1	22	2.0
8	1	22	1.0
8	4	22	1.0
5	2	23	1.0
5	3	23	1.0
5	4	23	1.0
5	5	23	1.0
5	6	23	2.0
5	7	23	2.0
5	8	23	2.0
5	9	23	2.0
6	1	23	1.0
6	2	23	1.0
6	3	23	1.0
6	4	23	2.0
6	5	23	2.0
6	6	23	2.0
6	7	23	2.0
6	8	23	2.0
6	9	23	2.0
7	2	23	1.0
7	3	23	1.0
7	4	23	1.0
7	5	23	1.0
7	6	23	2.0
7	7	23	2.0
7	8	23	2.0
7	9	23	2.0
9	1	30	1.0
9	2	30	1.0
9	3	30	1.0
9	4	30	1.0
9	5	30	1.0
9	6	30	1.0
9	7	30	1.0
8	2	34	1.0
8	3	34	1.0
8	4	34	1.0
8	5	34	1.0
8	6	34	1.0
8	7	34	2.0
8	8	34	2.0
8	9	34	2.0
9	1	34	1.0
9	2	34	2.0
9	3	34	2.0
9	4	34	2.0
9	5	34	2.0
9	6	34	3.0
9	7	34	4.0
9	8	34	4.0
9	9	34	4.0
7	0	38	1.0
7	1	38	1.0
7	2	38	1.0
7	3	38	1.0
8	0	38	2.0
8	1	38	2.0
8	2	38	2.0
8	3	38	1.0
8	4	38	1.0
8	5	38	1.0
9	0	38	1.0
9	1	38	1.0
9	2	38	1.0
9	3	38	1.0
9	8	43	7.0
9	9	43	15.0
8	4	44	2.0
8	5	44	4.0
8	6	44	3.0
8	7	44	2.0
8	8	44	3.0
8	9	44	4.0
9	1	44	1.0
9	2	44	2.0
9	3	44	5.0
9	4	44	10.0
9	5	44	13.0
9	6	44	13.0
9	7	44	12.0
9	8	44	9.0
9	9	44	5.0
8	1	45	1.0
8	2	45	1.0
8	3	45	1.0
8	7	45	1.0
8	8	45	1.0
8	9	45	1.0
9	0	45	1.0
9	1	45	1.0
9	2	45	1.0
9	3	45	1.0
9	7	45	1.0
9	8	45	1.0
9	9	45	2.0
8	1	68	1.0
9	0	68	4.0
9	1	68	4.0
9	2	68	3.0
9	3	68	2.0
9	4	68	1.0
9	5	68	1.0
7	0	69	1.0
7	1	69	1.0
7	2	69	1.0
8	0	69	2.0
8	1	69	2.0
8	2	69	2.0
8	3	69	2.0
8	4	69	2.0
8	5	69	1.0
8	6	69	1.0
8	7	69	1.0
9	0	69	2.0
9	1	69	1.0
9	2	69	2.0
9	3	69	3.0
9	4	69	3.0
9	5	69	2.0
9	6	69	2.0
9	7	69	2.0
9	8	69	1.0
7	0	95	1.0
7	1	95	1.0
7	2	95	2.0
7	3	95	1.0
7	4	95	1.0
7	1	98	1.0
7	2	98	1.0
7	3	98	1.0
6	4	99	2.0
6	5	99	2.0
6	6	99	2.0
9	7	99	3.0
9	8	99	12.0
9	9	99	3.0
