Signal data for event #13266
<Z>	<X>	<TIMESTEP>	<PHOTONS>
8	3	16	162.0
8	4	16	115.0
8	5	16	84.0
8	6	16	49.0
8	7	16	23.0
8	8	16	10.0
8	9	16	8.0
9	0	16	153.0
9	1	16	148.0
9	2	16	140.0
9	3	16	132.0
9	4	16	123.0
9	5	16	114.0
9	6	16	93.0
9	7	16	45.0
9	8	16	7.0
9	9	16	4.0
2	6	17	1.0
2	7	17	2.0
2	8	17	2.0
2	9	17	2.0
3	0	17	5.0
3	1	17	5.0
3	2	17	6.0
3	3	17	5.0
3	4	17	4.0
3	5	17	4.0
3	6	17	4.0
3	7	17	4.0
3	8	17	5.0
3	9	17	6.0
4	0	17	59.0
4	1	17	51.0
4	2	17	41.0
4	3	17	37.0
4	4	17	34.0
4	5	17	35.0
4	6	17	35.0
4	7	17	36.0
4	8	17	36.0
4	9	17	37.0
5	0	17	130.0
5	1	17	120.0
5	2	17	97.0
5	3	17	69.0
5	4	17	60.0
5	5	17	61.0
5	6	17	50.0
5	7	17	37.0
5	8	17	37.0
5	9	17	38.0
6	0	17	77.0
6	1	17	77.0
6	2	17	86.0
6	3	17	81.0
6	4	17	68.0
6	5	17	62.0
6	6	17	50.0
6	7	17	38.0
6	8	17	37.0
6	9	17	32.0
7	0	17	9.0
7	1	17	6.0
7	2	17	25.0
7	3	17	43.0
7	4	17	38.0
7	5	17	53.0
7	6	17	68.0
7	7	17	66.0
7	8	17	77.0
7	9	17	86.0
8	0	17	4.0
8	1	17	3.0
8	2	17	3.0
8	3	17	2.0
8	4	17	2.0
8	5	17	24.0
8	6	17	52.0
8	7	17	80.0
8	8	17	116.0
8	9	17	126.0
9	0	17	5.0
9	1	17	5.0
9	2	17	5.0
9	3	17	5.0
9	4	17	4.0
9	5	17	4.0
9	6	17	29.0
9	7	17	94.0
9	8	17	137.0
9	9	17	133.0
1	1	18	1.0
1	2	18	2.0
1	3	18	2.0
1	4	18	2.0
1	5	18	2.0
1	6	18	2.0
1	7	18	2.0
1	8	18	2.0
1	9	18	2.0
2	0	18	4.0
2	1	18	5.0
2	2	18	6.0
2	3	18	6.0
2	4	18	8.0
2	5	18	16.0
2	6	18	20.0
2	7	18	18.0
2	8	18	18.0
2	9	18	18.0
3	0	18	42.0
3	1	18	43.0
3	2	18	42.0
3	3	18	43.0
3	4	18	45.0
3	5	18	45.0
3	6	18	44.0
3	7	18	44.0
3	8	18	44.0
3	9	18	44.0
4	0	18	42.0
4	1	18	49.0
4	2	18	60.0
4	3	18	65.0
4	4	18	63.0
4	5	18	56.0
4	6	18	47.0
4	7	18	46.0
4	8	18	45.0
4	9	18	54.0
5	0	18	4.0
5	1	18	12.0
5	2	18	22.0
5	3	18	26.0
5	4	18	28.0
5	5	18	29.0
5	6	18	46.0
5	7	18	61.0
5	8	18	60.0
5	9	18	70.0
6	1	18	1.0
6	2	18	2.0
6	3	18	4.0
6	4	18	14.0
6	5	18	23.0
6	6	18	44.0
6	7	18	64.0
6	8	18	65.0
6	9	18	73.0
7	0	18	1.0
7	1	18	3.0
7	2	18	12.0
7	3	18	21.0
7	4	18	30.0
7	5	18	41.0
7	6	18	43.0
7	7	18	45.0
7	8	18	35.0
7	9	18	31.0
8	0	18	1.0
8	1	18	12.0
8	2	18	30.0
8	3	18	39.0
8	4	18	42.0
8	5	18	45.0
8	6	18	47.0
8	7	18	33.0
8	8	18	11.0
9	0	18	2.0
9	1	18	22.0
9	2	18	40.0
9	3	18	42.0
9	4	18	44.0
9	5	18	47.0
9	6	18	34.0
9	7	18	11.0
0	0	19	4.0
0	1	19	4.0
0	2	19	3.0
0	3	19	2.0
0	4	19	2.0
0	5	19	2.0
0	6	19	2.0
0	7	19	2.0
0	8	19	2.0
0	9	19	2.0
1	0	19	7.0
1	1	19	13.0
1	2	19	16.0
1	3	19	16.0
1	4	19	16.0
1	5	19	17.0
1	6	19	18.0
1	7	19	18.0
1	8	19	19.0
1	9	19	18.0
2	0	19	39.0
2	1	19	45.0
2	2	19	48.0
2	3	19	48.0
2	4	19	44.0
2	5	19	37.0
2	6	19	31.0
2	7	19	29.0
2	8	19	22.0
2	9	19	19.0
3	0	19	40.0
3	1	19	39.0
3	2	19	38.0
3	3	19	37.0
3	4	19	35.0
3	5	19	33.0
3	6	19	38.0
3	7	19	40.0
3	8	19	38.0
3	9	19	36.0
4	0	19	7.0
4	1	19	5.0
4	2	19	4.0
4	3	19	11.0
4	4	19	19.0
4	5	19	28.0
4	6	19	39.0
4	7	19	47.0
4	8	19	51.0
4	9	19	43.0
5	0	19	11.0
5	1	19	17.0
5	2	19	19.0
5	3	19	25.0
5	4	19	31.0
5	5	19	34.0
5	6	19	27.0
5	7	19	22.0
5	8	19	21.0
5	9	19	12.0
6	0	19	35.0
6	1	19	34.0
6	2	19	36.0
6	3	19	36.0
6	4	19	28.0
6	5	19	19.0
6	6	19	10.0
6	7	19	2.0
6	8	19	1.0
7	0	19	62.0
7	1	19	51.0
7	2	19	36.0
7	3	19	20.0
7	4	19	10.0
7	5	19	1.0
8	0	19	65.0
8	1	19	53.0
8	2	19	27.0
8	3	19	5.0
8	4	19	1.0
9	0	19	67.0
9	1	19	44.0
9	2	19	22.0
9	3	19	10.0
0	0	20	13.0
0	1	20	13.0
0	2	20	11.0
0	3	20	10.0
0	4	20	10.0
0	5	20	10.0
0	6	20	10.0
0	7	20	10.0
0	8	20	9.0
0	9	20	9.0
1	0	20	34.0
1	1	20	24.0
1	2	20	16.0
1	3	20	14.0
1	4	20	13.0
1	5	20	14.0
1	6	20	13.0
1	7	20	14.0
1	8	20	14.0
1	9	20	18.0
2	0	20	19.0
2	1	20	15.0
2	2	20	11.0
2	3	20	12.0
2	4	20	14.0
2	5	20	15.0
2	6	20	14.0
2	7	20	17.0
2	8	20	23.0
2	9	20	27.0
3	0	20	6.0
3	1	20	8.0
3	2	20	8.0
3	3	20	8.0
3	4	20	12.0
3	5	20	16.0
3	6	20	16.0
3	7	20	14.0
3	8	20	14.0
3	9	20	15.0
4	0	20	17.0
4	1	20	21.0
4	2	20	19.0
4	3	20	11.0
4	4	20	7.0
4	5	20	7.0
4	6	20	8.0
4	7	20	4.0
4	8	20	2.0
4	9	20	3.0
5	0	20	20.0
5	1	20	17.0
5	2	20	19.0
5	3	20	14.0
5	4	20	6.0
5	5	20	1.0
6	0	20	13.0
6	1	20	12.0
6	2	20	11.0
6	3	20	10.0
6	4	20	11.0
6	5	20	6.0
6	6	20	2.0
7	1	20	3.0
7	2	20	9.0
7	3	20	11.0
7	4	20	11.0
7	5	20	11.0
7	6	20	9.0
7	7	20	3.0
8	2	20	2.0
8	3	20	13.0
8	4	20	13.0
8	5	20	12.0
8	6	20	11.0
8	7	20	7.0
9	1	20	1.0
